10.0 0.5 -0.096396 0.000174 0.046552 0.000160 -0.142948 0.000014 -0.143354 0.000014 0.001610 0.000780 0.000830 0.037629 0.022099 -0.055772 -0.091633 -0.037145 1.000000 0.000000
40.0 0.5 -0.034798 0.000007 0.004640 0.000006 -0.039437 0.000001 -0.039577 0.000001 0.000204 0.000101 0.000104 0.002352 0.001381 -0.013943 -0.022908 -0.013614 1.000000 0.000000
1.0 1.0 5.162933 0.023301 6.076417 0.022366 -0.913485 0.000935 -0.974022 0.000936 0.047498 0.020292 0.027206 6.249377 2.209900 -0.347701 -0.916331 -0.119547 1.000000 0.000000
2.0 1.0 0.985727 0.004150 1.519671 0.003792 -0.549945 0.000358 -0.553571 0.000359 0.017306 0.007954 0.009352 1.562344 0.552475 -0.173851 -0.458166 -0.089519 1.000000 0.000000
4.0 1.0 0.076559 0.001035 0.387131 0.000928 -0.310572 0.000107 -0.311888 0.000108 0.006248 0.002966 0.003283 0.390586 0.138119 -0.086925 -0.229083 -0.063733 1.000000 0.000000
6.0 1.0 -0.043822 0.000473 0.176094 0.000421 -0.219915 0.000052 -0.220617 0.000052 0.003433 0.001647 0.001786 0.173594 0.061386 -0.057950 -0.152722 -0.050854 1.000000 0.000000
8.0 1.0 -0.069069 0.000269 0.102084 0.000238 -0.171153 0.000031 -0.171675 0.000031 0.002242 0.001082 0.001160 0.097647 0.034530 -0.043463 -0.114541 -0.042781 1.000000 0.000000
10.0 1.0 -0.073529 0.000170 0.066921 0.000150 -0.140450 0.000021 -0.140857 0.000021 0.001610 0.000780 0.000830 0.062494 0.022099 -0.034770 -0.091633 -0.037145 1.000000 0.000000
40.0 1.0 -0.033708 0.000007 0.005579 0.000005 -0.039286 0.000001 -0.039425 0.000001 0.000204 0.000101 0.000104 0.003906 0.001381 -0.008693 -0.022908 -0.013614 1.000000 0.000000
1.0 2.0 10.636297 0.023946 11.409997 0.022919 -0.773699 0.001028 -0.835240 0.001029 0.050576 0.015634 0.034942 11.566451 2.209900 -0.191763 -0.916331 -0.119547 1.000000 0.000000
2.0 2.0 2.378380 0.004681 2.844359 0.004222 -0.481979 0.000459 -0.485614 0.000458 0.017616 0.006982 0.010635 2.891613 0.552475 -0.095881 -0.458166 -0.089519 1.000000 0.000000
4.0 2.0 0.431259 0.001322 0.712877 0.001132 -0.281618 0.000189 -0.282948 0.000189 0.006268 0.002834 0.003434 0.722903 0.138119 -0.047941 -0.229083 -0.063733 1.000000 0.000000
6.0 2.0 0.115767 0.000607 0.319360 0.000505 -0.203593 0.000103 -0.204299 0.000103 0.003436 0.001615 0.001821 0.321290 0.061386 -0.031960 -0.152722 -0.050854 1.000000 0.000000
