0.049352 0.000662 0.000144
0.105754 0.002544 0.000130
0.168835 0.006777 0.000152
0.233421 0.014095 0.000173
0.298538 0.025635 0.000210
0.363902 0.041507 0.000235
0.429400 0.064399 0.000288
0.494979 0.094170 0.000338
0.560610 0.131021 0.000388
0.626277 0.175123 0.000452
0.691970 0.226652 0.000502
0.757682 0.284765 0.000571
0.823408 0.348595 0.000640
0.889146 0.415802 0.000691
0.954892 0.484926 0.000735
1.020646 0.555040 0.000770
1.086406 0.624034 0.000791
1.152170 0.690642 0.000818
1.217939 0.752549 0.000830
1.283711 0.809073 0.000821
1.349486 0.859803 0.000819
1.415264 0.903289 0.000803
1.481043 0.940902 0.000788
1.546825 0.971123 0.000765
1.612609 0.995272 0.000742
1.678393 1.013173 0.000710
1.744180 1.025807 0.000682
1.809967 1.034236 0.000650
1.875756 1.039291 0.000616
1.941545 1.041320 0.000586
2.007335 1.041116 0.000551
2.073127 1.039429 0.000533
2.138918 1.036601 0.000506
2.204711 1.033406 0.000481
2.270504 1.029933 0.000465
2.336297 1.026849 0.000446
2.402091 1.023781 0.000423
2.467886 1.021390 0.000405
2.533681 1.019159 0.000385
2.599476 1.017482 0.000370
2.665272 1.016563 0.000350
2.731068 1.015783 0.000342
2.796864 1.015453 0.000333
2.862660 1.015218 0.000326
2.928457 1.015291 0.000317
2.994254 1.015762 0.000313
3.060052 1.016012 0.000311
3.125849 1.016587 0.000309
3.191647 1.016866 0.000306
